Company Name,City,State,ZIP Code,Primary NAICS,Primary NAICS Description,Location Employee Size Actual,Location Sales Volume Actual,Type of Business,Square Footage,Credit Score Alpha,Saturday Open,Sunday Open
AAT Carriers,Jasper,AL,35501,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,7,"$1,158,000",Private,"2,500 - 4,999",B,,
Agritech,Cullman,AL,35058,488210,Support Activities For Rail Transportation,2,"$196,000",Private,"1 - 1,499",C+,,
Alabama Motor Express,Ashford,AL,36312,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,400,"$76,161,000",Private,"100,000+",A,Closed,Closed
All Pro Inc,Northport,AL,35476,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,15,"$2,774,000",Private,"5,000 - 9,999",B+,,
American Way LLC,Cottondale,AL,35453,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$555,000",Private,"1,500 - 2,499",C+,,
Baggetts Trucking,Piedmont,AL,36272,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,1,"$179,000",Private,"1,500 - 2,499",C,,
Bama Transportation,Graysville,AL,35073,561499,All Other Business Support Services,6,"$544,000",Private,"2,500 - 4,999",B,,
Barnone LLC,Mc Calla,AL,35111,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,4,"$740,000",Private,"1 - 1,499",B,,
Bearden Transportation Co,Horton,AL,35980,488210,Support Activities For Rail Transportation,5,"$547,000",Private,"1,500 - 2,499",B,Open 24 Hours,Open 24 Hours
Belco LLC,Brewton,AL,36426,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$465,000",Private,"1,500 - 2,499",C+,,
Berry Transport,Center Point,AL,35215,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,4,"$857,000",Private,"1 - 1,499",B,,
Best Value Carriers,Hoover,AL,35244,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,4,"$830,000",Private,"1,500 - 2,499",B,,
Birmingham Freightliner,Birmingham,AL,35214,441110,New Car Dealers,75,"$40,876,000",Private,"40,000 - 99,999",A,,
Boyd Bros Transportation Inc,Clayton,AL,36016,488210,Support Activities For Rail Transportation,90,$0,Branch of Public Company,"40,000 - 99,999",A+,,
BR Williams Trucking Inc,Anniston,AL,36207,493130,Farm Product Warehousing & Storage,50,"$7,954,000",Private,"40,000 - 99,999",A+,1100,Closed
BR Williams Trucking Inc,Eastaboga,AL,36260,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,22,"$3,705,000",Private,"10,000 - 19,999",B+,Closed,Closed
Breeden Kl & Sons,Anniston,AL,36207,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,12,"$2,146,000",Private,"10,000 - 19,999",B+,,
Buddy Moore Trucking,Birmingham,AL,35222,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,10,"$2,142,000",Private,"2,500 - 4,999",B,,
Builders Transportation,Birmingham,AL,35214,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,1,"$215,000",Private,"1,500 - 2,499",C+,Closed,Closed
Bulk Connection,Florence,AL,35633,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,1,"$173,000",Private,"1,500 - 2,499",C+,,
C & O Brokerage Inc,Selma,AL,36701,561990,All Other Support Services,2,"$103,000",Private,"1 - 1,499",C+,,
C 2 Freight Resources Inc,Houston,AL,35572,488510,Freight Transportation Arrangement,30,"$3,539,000",Private,"20,000 - 39,999",A,Open 24 Hours,Open 24 Hours
Carrier,Clanton,AL,35046,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$333,000",Private,"1,500 - 2,499",C+,,
